id,job_title,rating,company_name,work_site,work_site_catagory,contract_type,salary,city,state,min_salary,max_salary,salary_type,average_salary,yearly_salary,Category,Range
1,"Individual/Independent Consultant - Data Analytics, Food Security and Agroclimatology Specialist",,American Institutes for Research,Remote,2.0,Full-Time,N/A,,,,,,,,,
2,Data Scientist,4.0,Albert Einstein College of Medicine,"On-Site,Remote",1.0,Full-Time,"$99,000 - $110,000 a year - Full-time",Bronx,NY,99000.0,110000.0,per year,104500.0,104500.0,3.0,$100001 - $150000
3,Machine Learning Engineer,3.7,CIGNEX Datamatics,Remote,2.0,Full-Time,N/A,,,,,,,,,
4,Qualitative Data Researcher,4.7,Redcloud Consulting,"On-Site,Remote",1.0,Full-Time,$45 - $53 an hour,Bellevue,WA,45.0,53.0,per hour,49.0,101920.0,3.0,$100001 - $150000
5,Statistician,4.3,US National Institutes of Health,Remote,2.0,Full-Time,"$122,198 - $191,900 a year - Full-time",,,122198.0,191900.0,per year,157049.0,157049.0,4.0,$150001 - $200000
6,Research Associate - Segmenting and 3D Visualization - Remote or Hybrid,3.7,Ochsner Health System,"On-Site,Remote",1.0,Full-Time,N/A,New Orleans,LA,,,,,,,
7,Statistician I,3.4,Jackson Lewis,"On-Site,Remote",1.0,Full-Time,$35 - $45 an hour - Full-time,Denver,CO,35.0,45.0,per hour,40.0,83200.0,2.0,$50001 - $100000
8,Vice President - Reporting and Data Analytics,2.9,Modvicare,Remote,2.0,Full-Time,"$202,300 - $283,200 a year - Full-time",,,202300.0,283200.0,per year,242750.0,242750.0,5.0,$200001 - $250000
9,Data Scientist,,Norstella,Remote,2.0,Full-Time,"$100,000 - $120,000 a year - Full-time",,,100000.0,120000.0,per year,110000.0,110000.0,3.0,$100001 - $150000
10,Assessment Writer and Reviewer,,Correlation One,Remote,2.0,Full-Time,$50 - $100 a day,,,50.0,100.0,per day,75.0,19500.0,1.0,$10000 - $50000
11,Data Science Manager,3.9,Atlassian,"On-Site,Remote",1.0,Full-Time,"$167,100 - $268,400 a year - Full-time",San Francisco,CA,167100.0,268400.0,per year,217750.0,217750.0,5.0,$200001 - $250000
12,Data Scientist,3.8,"Geosyntec Consultants, Inc.","On-Site,Remote",1.0,Full-Time,N/A,Kennesaw,GA,,,,,,,
13,"Technical Sourcer, Data Science & Engineering (6 Month Contract)",,AiDash,"On-Site,Remote",1.0,Contract,$55 - $70 an hour - Contract,Palo Alto,CA,55.0,70.0,per hour,62.5,130000.0,3.0,$100001 - $150000
14,Growth Operations Associate,3.1,Vida Health,Remote,2.0,Full-Time,N/A,,,,,,,,,
16,Product Head of Support Product,3.8,Afterpay,"On-Site,Remote",1.0,Full-Time,"$290,000 - $435,000 a year - Full-time",San Francisco,CA,290000.0,435000.0,per year,362500.0,362500.0,7.0,$300001 - $400000
17,VP of Data Science,3.8,VEVO,Remote,2.0,Full-Time,"$250,000 - $285,000 a year - Full-time",,,250000.0,285000.0,per year,267500.0,267500.0,6.0,$250001 - $300000
18,Data Scientist – Remote,,Sanmina Corporation,"On-Site,Remote",1.0,Full-Time,"$100,000 - $150,000 a year",San Jose,CA,100000.0,150000.0,per year,125000.0,125000.0,3.0,$100001 - $150000
19,Manufacturing and Clinical Supply Senior Data Scientist,4.0,Amgen,"On-Site,Remote",1.0,Full-Time,"$143,314 - $169,083 a year",Los Angeles,CA,143314.0,169083.0,per year,156198.5,156198.5,4.0,$150001 - $200000
20,Data Analytics 2 (Climate and Energy),3.6,Abt Global,"On-Site,Remote",1.0,Full-Time,"$72,000 - $110,000 a year - Full-time",Rockville,MD,72000.0,110000.0,per year,91000.0,91000.0,2.0,$50001 - $100000
21,Senior Manager - Organizational Data Analytics and Insights,,Modvicare,Remote,2.0,Full-Time,"$111,000 - $149,900 a year",,,111000.0,149900.0,per year,130450.0,130450.0,3.0,$100001 - $150000
22,Clinical Data Manager,3.9,American Heart Association,"On-Site,Remote",1.0,Full-Time,"$85,000 - $93,000 a year - Full-time",Cleveland,OH,85000.0,93000.0,per year,89000.0,89000.0,2.0,$50001 - $100000
23,VP of Data Integration and Analytics,,Howden Group Holdings,Remote,2.0,Full-Time,"$200,000 a year - Full-time",,,200000.0,,per year,200000.0,200000.0,4.0,$150001 - $200000
24,Senior Data Analyst - Quality Assurance - Remote,3.5,Olympus Corporation of the Americas,"On-Site,Remote",1.0,Full-Time,"$75,624 - $102,092 a year - Full-time",Center Valley,PA,75624.0,102092.0,per year,88858.0,88858.0,2.0,$50001 - $100000
25,Medical Coding & Surgery Authorizations Specialist,3.7,University of Colorado Medicine,"On-Site,Remote",1.0,Full-Time,$27.73 - $31.21 an hour - Full-time,Aurora,CO,27.73,31.21,per hour,29.47,61297.6,2.0,$50001 - $100000
26,Applied AI Scientist,,ClimateAI,Remote,2.0,Full-Time,"$160,000 - $220,000 a year",,,160000.0,220000.0,per year,190000.0,190000.0,4.0,$150001 - $200000
27,Sr. Data Scientist,3.8,Pinterest,Remote,2.0,Full-Time,"$123,470 - $254,024 a year",,,123470.0,254024.0,per year,188747.0,188747.0,4.0,$150001 - $200000
28,Staff Data Scientist,4.2,BitSight,Remote,2.0,Full-Time,"$150,000 - $170,000 a year - Full-time",,,150000.0,170000.0,per year,160000.0,160000.0,4.0,$150001 - $200000
29,Data Scientist,3.4,ICF,"On-Site,Remote",1.0,Full-Time,"$79,154 - $134,561 a year - Full-time",Raleigh,NC,79154.0,134561.0,per year,106857.5,106857.5,3.0,$100001 - $150000
31,Healthcare MLOps Databricks AWS - Machine Learning Operations Engineer (Remote),,Mercy,"On-Site,Remote",1.0,Full-Time,N/A,Chesterfield,MO,,,,,,,
32,Data Scientist - CCSG & Extramural Research Development,4.1,MD Anderson Cancer Center,"On-Site,Remote",1.0,Full-Time,"$103,000 - $155,000 a year - Full-time",Houston,TX,103000.0,155000.0,per year,129000.0,129000.0,3.0,$100001 - $150000
33,Junior Software Implementation Consultant,3.8,WSP,"On-Site,Remote",1.0,Full-Time,"$65,400 - $107,910 a year",Denver,CO,65400.0,107910.0,per year,86655.0,86655.0,2.0,$50001 - $100000
